ibge_code,municipio,estado,mesorregiao,microrregiao
110001,Alta Floresta D'Oeste,Rondônia,Leste Rondoniense,Cacoal
110037,Alto Alegre dos Parecis,Rondônia,Leste Rondoniense,Cacoal
110040,Alto Paraíso,Rondônia,Leste Rondoniense,Ariquemes
110034,Alvorada D'Oeste,Rondônia,Leste Rondoniense,Alvorada D'Oeste
110002,Ariquemes,Rondônia,Leste Rondoniense,Ariquemes
110045,Buritis,Rondônia,Madeira-Guaporé,Porto Velho
110003,Cabixi,Rondônia,Leste Rondoniense,Colorado do Oeste
110060,Cacaulândia,Rondônia,Leste Rondoniense,Ariquemes
110004,Cacoal,Rondônia,Leste Rondoniense,Cacoal
110070,Campo Novo de Rondônia,Rondônia,Madeira-Guaporé,Porto Velho
110080,Candeias do Jamari,Rondônia,Madeira-Guaporé,Porto Velho
110090,Castanheiras,Rondônia,Leste Rondoniense,Cacoal
110005,Cerejeiras,Rondônia,Leste Rondoniense,Colorado do Oeste
110092,Chupinguaia,Rondônia,Leste Rondoniense,Vilhena
110006,Colorado do Oeste,Rondônia,Leste Rondoniense,Colorado do Oeste
110007,Corumbiara,Rondônia,Leste Rondoniense,Colorado do Oeste
110008,Costa Marques,Rondônia,Madeira-Guaporé,Guajará-Mirim
110094,Cujubim,Rondônia,Madeira-Guaporé,Porto Velho
110009,Espigão D'Oeste,Rondônia,Leste Rondoniense,Cacoal
110100,Governador Jorge Teixeira,Rondônia,Leste Rondoniense,Ji-Paraná
110010,Guajará-Mirim,Rondônia,Madeira-Guaporé,Guajará-Mirim
110110,Itapuã do Oeste,Rondônia,Madeira-Guaporé,Porto Velho
110011,Jaru,Rondônia,Leste Rondoniense,Ji-Paraná
110012,Ji-Paraná,Rondônia,Leste Rondoniense,Ji-Paraná
110013,Machadinho D'Oeste,Rondônia,Leste Rondoniense,Ariquemes
110120,Ministro Andreazza,Rondônia,Leste Rondoniense,Cacoal
110130,Mirante da Serra,Rondônia,Leste Rondoniense,Ji-Paraná
110140,Monte Negro,Rondônia,Leste Rondoniense,Ariquemes
110014,Nova Brasilândia D'Oeste,Rondônia,Leste Rondoniense,Alvorada D'Oeste
110033,Nova Mamoré,Rondônia,Madeira-Guaporé,Porto Velho
110143,Nova União,Rondônia,Leste Rondoniense,Ji-Paraná
110050,Novo Horizonte do Oeste,Rondônia,Leste Rondoniense,Cacoal
110015,Ouro Preto do Oeste,Rondônia,Leste Rondoniense,Ji-Paraná
