MUNIC_RES,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
150010,132222.0,138005.0,139819.0,141054.0,142785.0,144415.0,147267.0,148873.0,150431.0,151934.0,153380.0,156292.0,157698.0
150013,6592.0,6879.0,6967.0,6792.0,6844.0,6905.0,7013.0,7070.0,7126.0,7179.0,7231.0,7382.0,7434.0
150020,47923.0,48878.0,48501.0,53605.0,53680.0,53787.0,54030.0,54047.0,54064.0,54080.0,54096.0,55513.0,55591.0
150030,31183.0,32368.0,32633.0,35017.0,35467.0,35879.0,36598.0,37004.0,37398.0,37778.0,38144.0,38863.0,39218.0
150034,28658.0,30389.0,31216.0,25061.0,25286.0,25506.0,25899.0,26105.0,26305.0,26497.0,26682.0,27241.0,27430.0
150040,52661.0,55688.0,57067.0,52714.0,53004.0,53369.0,54035.0,54353.0,54662.0,54960.0,55246.0,56480.0,56789.0
150050,30903.0,31475.0,31192.0,33665.0,33588.0,33563.0,33562.0,33466.0,33372.0,33282.0,33195.0,34142.0,34109.0
150060,92105.0,96842.0,98750.0,105030.0,100736.0,102343.0,105106.0,106768.0,108382.0,109938.0,111435.0,113195.0,114594.0
150070,24942.0,26563.0,27386.0,24771.0,25254.0,25731.0,26547.0,27051.0,27540.0,28012.0,28466.0,28859.0,29277.0
150080,484278.0,495480.0,505512.0,471744.0,477999.0,483821.0,493976.0,499776.0,505404.0,510834.0,516057.0,525566.0,530598.0
150085,17787.0,19410.0,20421.0,20493.0,21398.0,22225.0,23609.0,24525.0,25414.0,26271.0,27096.0,27161.0,27890.0
150090,37086.0,38760.0,39317.0,40499.0,41072.0,41628.0,42591.0,43154.0,43700.0,44227.0,44734.0,45516.0,45998.0
150095,21239.0,22092.0,22315.0,26579.0,27070.0,27576.0,28441.0,28974.0,29492.0,29991.0,30471.0,30896.0,31338.0
150100,18830.0,19839.0,20266.0,15767.0,15875.0,15899.0,15959.0,15956.0,15953.0,15950.0,15947.0,16371.0,16388.0
150110,18580.0,19780.0,20386.0,23855.0,24644.0,25398.0,26666.0,27491.0,28292.0,29065.0,29808.0,30009.0,30673.0
150120,26190.0,27652.0,28299.0,36907.0,38092.0,39263.0,41232.0,42513.0,43757.0,44956.0,46110.0,46416.0,47446.0
