ibge_code,cases,year
150010,16,2007
150010,23,2008
150010,5,2009
150010,14,2010
150010,7,2011
150010,4,2012
150010,7,2013
150010,4,2014
150010,1,2015
150010,9,2016
150010,7,2017
150010,5,2018
150010,5,2019
150013,0,2007
150013,0,2008
150013,0,2009
150013,0,2010
150013,0,2011
150013,0,2012
150013,0,2013
150013,0,2014
150013,0,2015
150013,0,2016
150013,0,2017
150013,0,2018
150013,0,2019
150020,27,2007
150020,7,2008
150020,6,2009
150020,10,2010
150020,18,2011
150020,17,2012
150020,8,2013
150020,7,2014
150020,6,2015
150020,9,2016
150020,11,2017
150020,14,2018
150020,5,2019
150030,0,2007
150030,0,2008
150030,0,2009
150030,0,2010
150030,0,2011
150030,0,2012
150030,0,2013
150030,0,2014
150030,0,2015
150030,0,2016
150030,0,2017
150030,0,2018
150030,0,2019
150034,0,2007
150034,0,2008
150034,0,2009
150034,0,2010
150034,0,2011
150034,0,2012
150034,0,2013
150034,1,2014
150034,0,2015
150034,0,2016
150034,0,2017
150034,0,2018
150034,0,2019
150040,0,2007
150040,0,2008
150040,0,2009
150040,1,2010
150040,0,2011
150040,0,2012
150040,1,2013
150040,1,2014
150040,0,2015
150040,0,2016
150040,0,2017
150040,0,2018
150040,1,2019
150050,0,2007
150050,0,2008
150050,0,2009
150050,1,2010
150050,0,2011
150050,0,2012
150050,0,2013
150050,0,2014
150050,0,2015
150050,0,2016
150050,0,2017
150050,0,2018
150050,0,2019
150060,1,2007
150060,1,2008
150060,2,2009
150060,0,2010
150060,0,2011
150060,0,2012
150060,0,2013
150060,0,2014
150060,0,2015
150060,1,2016
150060,0,2017
150060,0,2018
150060,0,2019
150070,0,2007
150070,1,2008
150070,0,2009
150070,3,2010
150070,0,2011
150070,1,2012
150070,0,2013
150070,0,2014
150070,0,2015
150070,0,2016
150070,0,2017
150070,0,2018
150070,0,2019
150080,1,2007
150080,2,2008
150080,0,2009
150080,2,2010
150080,1,2011
150080,1,2012
150080,1,2013
150080,0,2014
150080,0,2015
150080,1,2016
150080,0,2017
150080,0,2018
150080,1,2019
150085,0,2007
150085,0,2008
150085,2,2009
150085,0,2010
150085,0,2011
150085,0,2012
150085,0,2013
150085,0,2014
150085,0,2015
150085,1,2016
150085,0,2017
150085,0,2018
150085,2,2019
150090,0,2007
150090,0,2008
150090,0,2009
