1                   1                   1                   1576                156,24              10,09               11,19               342901,52           
2                   1                   1                   715                 212,94              3,36                3,48                472163,78           
3                   1                   1                   782                 270,10              2,90                3,00                573731,17           
4                   1                   1                   320                 76,05               4,21                4,28                165730,94           
5                   1                   1                   147                 49,85               2,95                2,97                109140,96           
6                   1                   1                   120                 47,53               2,52                2,54                107722,27           
7                   1                   1                   103                 38,32               2,69                2,70                91387,44            
8                   1                   1                   76                  27,51               2,76                2,77                63111,01            
9                   1                   1                   36                  9,46                3,81                3,81                21057,30            
10                  1                   1                   111                 72,99               1,52                1,52                163569,55           
