1                   1                   1                   1586                156,40              10,14               11,26               343049,84           
2                   1                   1                   880                 263,70              3,34                3,49                581080,17           
3                   1                   1                   769                 262,38              2,93                3,04                557140,46           
4                   1                   1                   102                 12,12               8,41                8,47                26472,36            
5                   1                   1                   165                 64,25               2,57                2,59                141160,89           
6                   1                   1                   120                 47,53               2,52                2,54                107722,27           
7                   1                   1                   103                 38,32               2,69                2,70                91387,44            
8                   1                   1                   65                  21,20               3,07                3,08                49564,26            
9                   1                   1                   36                  9,46                3,81                3,81                21057,30            
10                  1                   1                   32                  12,22               2,62                2,62                25355,11            
11                  1                   1                   111                 72,99               1,52                1,52                163569,55           
