LOC_ID                          CLUSTER             P_VALUE             CLU_OBS             CLU_EXP             CLU_ODE             CLU_RR              CLU_POP             LOC_OBS             LOC_EXP             LOC_ODE             LOC_RR              LOC_POP             LOC_LAT             LOC_LONG            GINI_CLUST
150840                          1                   1e-17               1256                209,30              6,00                8,16                804688,10           36                  10,53               3,42                3,44                41944,10            -6,917778           -49,635269          F 
150775                          1                   1e-17               1256                209,30              6,00                8,16                804688,10           0                   1,38                0                   0                   5484,34             -6,838887           -49,569770          F 
150616                          1                   1e-17               1256                209,30              6,00                8,16                804688,10           15                  4,33                3,47                3,48                17701,98            -7,340633           -49,895143          F 
150304                          1                   1e-17               1256                209,30              6,00                8,16                804688,10           20                  4,75                4,21                4,22                18225,14            -7,548323           -49,576031          F 
150215                          1                   1e-17               1256                209,30              6,00                8,16                804688,10           74                  8,46                8,74                8,88                30956,89            -6,424206           -50,085674          F 
150277                          1                   1e-17               1256                209,30              6,00                8,16                804688,10           26                  4,30                6,05                6,08                17917,35            -6,228930           -49,624611          F 
150034                          1                   1e-17               1256                209,30              6,00                8,16                804688,10           1                   6,46                0,15                0,15                27097,69            -6,772979           -50,430155          F 
150563                          1                   1e-17               1256                209,30              6,00                8,16                804688,10           7                   3,09                2,27                2,27                12799,83            -6,541035           -49,011769          F 
150555                          1                   1e-17               1256                209,30              6,00                8,16                804688,10           15                  1,33                11,27               11,31               5857,53             -7,736975           -50,123622          F 
150295                          1                   1e-17               1256                209,30              6,00                8,16                804688,10           150                 8,00                18,75               19,42               31825,05            -6,069645           -49,245435          F 
150125                          1                   1e-17               1256                209,30              6,00                8,16                804688,10           2                   0,79                2,53                2,53                3449,95             -7,486384           -50,634416          F 
150553                          1                   1e-17               1256                209,30              6,00                8,16                804688,10           149                 47,67               3,13                3,20                174751,45           -6,151734           -50,489772          F 
150745                          1                   1e-17               1256                209,30              6,00                8,16                804688,10           50                  5,96                8,39                8,47                24953,16            -6,189251           -48,748223          F 
150613                          1                   1e-17               1256                209,30              6,00                8,16                804688,10           330                 19,90               16,58               17,93               76962,52            -8,069329           -50,198124          F 
150270                          1                   1e-17               1256                209,30              6,00                8,16                804688,10           69                  11,34               6,08                6,17                46471,06            -8,182491           -49,512708          F 
150420                          1                   1e-17               1256                209,30              6,00                8,16                804688,10           281                 64,98               4,32                4,57                244574,45           -5,629800           -50,016960          F 
150715                          1                   1e-17               1256                209,30              6,00                8,16                804688,10           31                  6,01                5,16                5,19                23715,61            -5,657595           -48,730594          F 
150795                          2                   1e-17               1356                349,36              3,88                5,27                1326256,99          36                  21,98               1,64                1,64                88396,63            -2,907819           -48,736701          F 
150470                          2                   1e-17               1356                349,36              3,88                5,27                1326256,99          127                 19,70               6,45                6,62                74100,34            -2,683911           -49,074042          F 
150460                          2                   1e-17               1356                349,36              3,88                5,27                1326256,99          40                  7,36                5,44                5,48                27900,27            -2,576689           -49,466382          F 
150800                          2                   1e-17               1356                349,36              3,88                5,27                1326256,99          148                 15,13               9,78                10,11               57260,45            -2,636126           -48,267625          F 
150120                          2                   1e-17               1356                349,36              3,88                5,27                1326256,99          44                  9,59                4,59                4,62                39146,14            -3,129827           -49,698980          F 
150210                          2                   1e-17               1356                349,36              3,88                5,27                1326256,99          212                 33,82               6,27                6,55                126092,87           -2,253062           -49,513572          F 
150330                          2                   1e-17               1356                349,36              3,88                5,27                1326256,99          108                 16,27               6,64                6,79                59267,07            -2,062706           -49,130745          F 
150178                          2                   1e-17               1356                349,36              3,88                5,27                1326256,99          10                  14,92               0,67                0,67                57569,09            -3,733484           -49,371220          F 
150345                          2                   1e-17               1356                349,36              3,88                5,27                1326256,99          9                   13,62               0,66                0,66                53992,24            -2,805778           -47,921546          F 
150020                          2                   1e-17               1356                349,36              3,88                5,27                1326256,99          93                  14,54               6,40                6,52                52909,20            -2,035386           -48,411450          F 
150309                          2                   1e-17               1356                349,36              3,88                5,27                1326256,99          1                   8,81                0,11                0,11                34754,33            -4,027193           -49,005718          F 
150520                          2                   1e-17               1356                349,36              3,88                5,27                1326256,99          69                  7,90                8,73                8,86                29595,47            -2,278919           -49,902330          F 
150400                          2                   1e-17               1356                349,36              3,88                5,27                1326256,99          3                   7,09                0,42                0,42                26411,72            -1,864269           -49,469137          F 
150010                          2                   1e-17               1356                349,36              3,88                5,27                1326256,99          76                  39,76               1,91                1,93                146481,04           -1,730257           -48,883069          F 
150810                          2                   1e-17               1356                349,36              3,88                5,27                1326256,99          12                  27,42               0,44                0,44                102883,85           -3,856279           -49,821134          F 
150110                          2                   1e-17               1356                349,36              3,88                5,27                1326256,99          1                   6,43                0,16                0,16                25744,98            -2,373143           -50,181767          F 
150550                          2                   1e-17               1356                349,36              3,88                5,27                1326256,99          20                  27,67               0,72                0,72                103207,28           -3,203450           -47,603151          F 
150095                          2                   1e-17               1356                349,36              3,88                5,27                1326256,99          28                  7,08                3,96                3,98                27423,52            -2,231179           -47,726353          F 
150275                          2                   1e-17               1356                349,36              3,88                5,27                1326256,99          30                  7,36                4,08                4,10                28845,90            -1,881720           -47,974657          F 
150130                          2                   1e-17               1356                349,36              3,88                5,27                1326256,99          120                 27,64               4,34                4,44                107722,27           -1,498618           -48,634231          F 
150190                          2                   1e-17               1356                349,36              3,88                5,27                1326256,99          102                 7,05                14,46               14,80               26472,36            -1,632969           -48,089877          F 
150720                          2                   1e-17               1356                349,36              3,88                5,27                1326256,99          67                  8,21                8,16                8,28                30079,96            -1,882565           -47,771487          F 
150630                          3                   0,00000000000165    36                  5,50                6,54                6,59                21057,30            36                  5,50                6,54                6,59                21057,30            -0,796624           -48,629984          F 
