LOC_ID                          OBSERVED            EXPECTED            ODE                 REL_RISK            
150010                          107                 76,80               1,39                1,40                
150013                          0                   3,69                0                   0                   
150020                          145                 27,74               5,23                5,38                
150030                          0                   18,86               0                   0                   
150034                          1                   14,21               0,070               0,070               
150040                          4                   28,68               0,14                0,14                
150050                          1                   17,32               0,058               0,058               
150060                          5                   55,06               0,091               0,090               
150070                          5                   14,13               0,35                0,35                
150080                          10                  262,19              0,038               0,036               
150085                          5                   12,25               0,41                0,41                
150090                          1                   22,11               0,045               0,045               
150095                          34                  14,38               2,36                2,38                
150100                          1                   8,83                0,11                0,11                
150110                          3                   13,50               0,22                0,22                
150120                          61                  20,52               2,97                3,00                
150125                          3                   1,81                1,66                1,66                
150130                          144                 56,48               2,55                2,61                
150140                          18                  752,17              0,024               0,020               
150145                          11                  8,39                1,31                1,31                
150150                          2                   28,70               0,070               0,069               
150157                          6                   8,13                0,74                0,74                
150160                          0                   7,48                0                   0                   
150170                          2                   61,31               0,033               0,032               
150172                          0                   8,66                0                   0                   
150175                          5                   3,86                1,30                1,30                
150178                          17                  30,18               0,56                0,56                
150180                          2                   51,29               0,039               0,039               
150190                          133                 13,88               9,58                9,87                
150195                          0                   14,53               0                   0                   
150200                          12                  11,34               1,06                1,06                
150210                          304                 66,11               4,60                4,88                
150215                          76                  16,23               4,68                4,75                
150220                          2                   34,33               0,058               0,058               
150230                          10                  27,60               0,36                0,36                
150240                          6                   94,72               0,063               0,062               
150250                          0                   11,46               0                   0                   
150260                          1                   6,07                0,16                0,16                
150270                          248                 24,36               10,18               10,76               
150275                          43                  15,12               2,84                2,86                
150276                          3                   6,24                0,48                0,48                
150277                          26                  9,39                2,77                2,78                
150280                          1                   16,01               0,062               0,062               
150285                          0                   6,91                0                   0                   
150290                          0                   19,35               0                   0                   
150293                          24                  27,17               0,88                0,88                
150295                          152                 16,69               9,11                9,42                
150300                          1                   5,28                0,19                0,19                
150304                          21                  9,56                2,20                2,20                
150307                          49                  13,29               3,69                3,72                
150309                          5                   18,22               0,27                0,27                
150310                          0                   15,66               0                   0                   
150320                          5                   19,22               0,26                0,26                
150330                          168                 31,07               5,41                5,59                
150340                          1                   5,62                0,18                0,18                
150345                          15                  28,31               0,53                0,53                
150350                          4                   16,47               0,24                0,24                
150360                          2                   54,78               0,037               0,036               
150370                          7                   26,02               0,27                0,27                
150375                          0                   15,30               0                   0                   
150380                          5                   28,88               0,17                0,17                
150390                          10                  25,57               0,39                0,39                
150400                          8                   13,85               0,58                0,58                
150405                          14                  15,10               0,93                0,93                
150410                          0                   4,29                0                   0                   
150420                          301                 128,23              2,35                2,45                
150430                          0                   15,10               0                   0                   
150440                          0                   14,36               0                   0                   
150442                          5                   60,53               0,083               0,082               
150445                          2                   14,74               0,14                0,14                
150450                          1                   12,74               0,079               0,078               
150460                          62                  14,63               4,24                4,29                
150470                          190                 38,85               4,89                5,08                
150475                          0                   8,15                0                   0                   
150480                          11                  30,38               0,36                0,36                
150490                          3                   18,72               0,16                0,16                
150495                          10                  11,16               0,90                0,90                
150497                          5                   8,10                0,62                0,62                
150500                          1                   7,36                0,14                0,14                
150503                          1                   12,81               0,078               0,078               
150506                          24                  34,57               0,69                0,69                
150510                          0                   26,15               0                   0                   
150520                          115                 15,52               7,41                7,59                
150530                          0                   34,43               0                   0                   
150540                          0                   8,76                0                   0                   
150543                          9                   14,76               0,61                0,61                
150548                          4                   22,67               0,18                0,18                
150549                          6                   3,89                1,54                1,54                
150550                          32                  54,11               0,59                0,59                
150553                          156                 91,62               1,70                1,73                
150555                          18                  3,07                5,86                5,88                
150560                          0                   4,14                0                   0                   
150563                          9                   6,71                1,34                1,34                
150565                          2                   13,49               0,15                0,15                
150570                          25                  14,66               1,71                1,71                
150580                          2                   28,90               0,069               0,069               
150590                          0                   18,57               0                   0                   
150600                          2                   15,07               0,13                0,13                
150610                          0                   5,54                0                   0                   
150611                          0                   6,82                0                   0                   
150613                          374                 40,35               9,27                10,09               
150616                          15                  9,28                1,62                1,62                
150618                          3                   25,67               0,12                0,12                
150619                          2                   22,65               0,088               0,088               
150620                          0                   20,35               0                   0                   
150630                          42                  11,04               3,80                3,83                
150635                          1                   9,50                0,11                0,11                
150640                          1                   4,46                0,22                0,22                
150650                          6                   32,94               0,18                0,18                
150655                          1                   10,08               0,099               0,099               
150658                          14                  9,92                1,41                1,41                
150660                          2                   12,39               0,16                0,16                
150670                          11                  32,67               0,34                0,33                
150680                          117                 152,14              0,77                0,76                
150690                          0                   3,34                0                   0                   
150700                          0                   14,92               0                   0                   
150710                          1                   9,03                0,11                0,11                
150715                          32                  12,43               2,57                2,59                
150720                          107                 15,77               6,78                6,94                
150730                          14                  52,88               0,26                0,26                
150740                          1                   7,65                0,13                0,13                
150745                          90                  13,08               6,88                7,01                
150746                          0                   2,90                0                   0                   
150747                          0                   11,17               0                   0                   
150750                          8                   6,89                1,16                1,16                
150760                          11                  27,68               0,40                0,40                
150770                          1                   12,60               0,079               0,079               
150775                          3                   2,88                1,04                1,04                
150780                          0                   6,63                0                   0                   
150790                          7                   12,41               0,56                0,56                
150795                          55                  46,35               1,19                1,19                
150796                          0                   5,68                0                   0                   
150797                          1                   9,10                0,11                0,11                
150800                          217                 30,02               7,23                7,57                
150803                          0                   15,07               0                   0                   
150805                          1                   9,26                0,11                0,11                
150808                          7                   18,14               0,39                0,38                
150810                          15                  53,94               0,28                0,28                
150812                          7                   25,16               0,28                0,28                
150815                          2                   24,29               0,082               0,082               
150820                          1                   25,97               0,039               0,038               
150830                          0                   30,37               0                   0                   
150835                          2                   6,94                0,29                0,29                
150840                          43                  21,99               1,96                1,97                
